=== Moccasin CLI Profiling Report ===

Command: compile profiling/contracts/counter.vy --no-install
Profiling report generated at 2025-07-15

### Cumulative Stats ###
         1957091 function calls (1871506 primitive calls) in 1.012 seconds

   Ordered by: cumulative time
   List reduced from 6833 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      764    0.004    0.000    0.026    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bls12_381/optimized_curve.py:87(double)
    20269    0.004    0.000    0.004    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:240(__next)
   5655/3    0.004    0.000    0.009    0.003 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/parsimonious/expressions.py:161(match_core)
     1988    0.004    0.000    0.007    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/enum.py:367(__setitem__)
      764    0.003    0.000    0.005    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_compiler.py:243(_optimize_charset)
    90127    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
   1183/1    0.003    0.000    0.990    0.990 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     1343    0.003    0.000    0.020    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:1376(__init__)
      619    0.003    0.000    0.010    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/inspect.py:2331(_signature_from_function)
        4    0.003    0.001    0.003    0.001 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/json/decoder.py:343(raw_decode)
      761    0.003    0.000    0.023    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bn128/optimized_curve.py:79(double)
    17303    0.003    0.000    0.006    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:261(get)
    55107    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1142    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      179    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
15106/15038    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
   1142/2    0.003    0.000    0.990    0.495 <frozen importlib._bootstrap>:666(_load_unlocked)
      458    0.003    0.000    0.016    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bls12_381/optimized_curve.py:103(add)
    10549    0.003    0.000    0.005    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:1266(_is_dunder)
     1582    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    12566    0.003    0.000    0.003    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:168(__getitem__)
    21774    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1188    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     9971    0.002    0.000    0.015    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:94(__rmul__)
    15074    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
      351    0.002    0.000    0.012    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bn128/optimized_curve.py:95(add)
     4541    0.002    0.000    0.004    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/enum.py:688(__call__)
    15/14    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     8261    0.002    0.000    0.004    0.000 {built-in method builtins.max}
 2056/392    0.002    0.000    0.003    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:178(getwidth)
3818/3589    0.002    0.000    0.040    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:373(inner)
     1891    0.002    0.000    0.004    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/inspect.py:2669(__init__)
     1145    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
1924/1896    0.002    0.000    0.006    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_utils/functional.py:45(inner)
    40525    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      492    0.002    0.000    0.015    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:679(Union)
   2311/3    0.002    0.000    0.007    0.002 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/parsimonious/nodes.py:194(visit)
     2202    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1216    0.002    0.000    0.007    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/typing_extensions.py:3171(_collect_parameters)
      575    0.002    0.000    0.031    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/dataclasses.py:413(_create_fn)
     1582    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
     1582    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
  689/144    0.002    0.000    0.031    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:456(_parse_sub)
       21    0.002    0.000    0.002    0.000 {built-in method _imp.exec_builtin}
     1101    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     1116    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
    21287    0.002    0.000    0.002    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/rlp/sedes/serializable.py:344(_get_class_namespace)
1903/1849    0.002    0.000    0.019    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/copy.py:210(_deepcopy_tuple)
